
Radis,018075020085002
Tomate,022070024080002
Basilic,020075022085002
Carotte,018070020080003
Salade,015070018080003
Poivron,025075026085002
Courgette,022070024080002
Haricot,020075022085002
Epinard,015070018080003
Persil,018075020085002
Tournesol,022065024075003
Concombre,025080026085002
Aubergine,024075026080002
Mais,022070024080003
Petunia,020075022085002
Capucine,022070024080002
Brocoli,018075020085003
Chou,018070020080003
Oignon,020075022085002
Pois,015070018080003
Betterave,018075020085002
Celeri,016080018090002
Poireau,020075022085003
Panais,018070020080003
Navet,018075020085002
Artichaut,020070022080003
Asperge,022075024085002
Fenouil,018070020080003
Rhubarbe,015075018085003
Topinambour,018070020080003
Piment,025080026085002
Melon,025075026080002
Pastèque,025080026085002
Fraisier,020075022085002
Framboisier,020070022080003
Groseillier,018075020085003
Cassis,018070020080003
Murier,020075022085002
Kiwi,022070024080003
Vigne,022075024085002
Figuier,020070022080003
Olive,022065024075003
Lavande,020060022070003
Romarin,022065024075003
Thym,020060022070003
Sauge,020065022075003
Coriandre,018075020085002
Aneth,018070020080003
Ciboulette,018075020085002
Estragon,020070022080003
Menthe,020075022085002
Camomille,018070020080003
Valeriane,020075022085002
Consoude,018070020080003
Bourrache,018075020085002
Calendula,020070022080003
Souci,020075022085002
Digitalis,018070020080003
Lupin,018075020085002
Pavot,015070018080003
Nigelle,018075020085002
Capucine naine,020070022080003
Bleuet,018075020085002
Myosotis,015070018080003
Primevere,018075020085002
Pervenche,020070022080003
Lobelie,018075020085002
Ageratum,020070022080003
Zinnia,022075024085002
Cosmos,020070022080003
Gaillardia,020065022075003
Rudbeckia,022070024080003
Echinacea,020075022085002
Gauras,018070020080003
Gypsophile,018065020075003
Statice,020060022070003
Ammi,018070020080003
Bupleur,018075020085002
Scabieuse,018070020080003
Centauree,020075022085002
Achillee millefeuille,018070020080003
Armoise,020065022075003
Bardane,018075020085002
Belladone,020070022080003
Bouillon blanc,018075020085002
Brunelle,018070020080003
Bugle rampante,020075022085002
Cardamine,015070018080003
Chelidoine,018075020085002
Chicoree,018070020080003
Coquelicot,015075018085002
Douce amere,020070022080003
Eglantier,018075020085002
Ficaire,015070018080003
Grande ortie,018075020085002
Guimauve,020070022080003
Lamier blanc,018075020085002
Lierre terrestre,018070020080003
Lotier cornicule,020075022085002
Mauve sylvestre,018070020080003
Melisse,020075022085002
Onagre,018070020080003
Ortie dioique,018075020085002
Paquerette,015070018080003
Pissenlit,018075020085002
Plantain lanceole,018070020080003
Primevere officinale,015075018085002
Reine des pres,018070020080003
Saule,020080022090002
Tussilage,018075020085002
Verveine officinale,020070022080003
Violette odorante,015075018085002
Achillee musquee,018070020080003
Ail des ours,015075018085002
Angelique,018070020080003
Arnica,018075020085002
Aurone,020070022080003
Ballote,020065022075003
Benjoin,022070024080003
Bourdaine,018075020085002
Bruyere,020070022080003
Cataire,018075020085002
Centauranthe rouge,018070020080003
Chevrefeuille,020075022085002
Ciste,022065024075003
Clematite,020070022080003
Corete du Japon,022075024085002
Datura,025070026080003
Eucalyptus,022065024075003
Fritillaire,018075020085002
Gaultherie,020070022080003
Genet,020065022075003
Hellebore,015075018085002
Hetre,018070020080003
Houx,020075022085002
If,018070020080003
Jasmin,022075024085002
Laurier rose,025070026080003
Lierre,020075022085002
Magnolia,018070020080003
Marronnier,020075022085002
Millepertuis,018070020080003
Muguet,015075018085002
Nerprun,020070022080003
Noyer,018075020085002
Olive de Boheme,020065022075003
Pivoine,018070020080003
Platanus,020075022085002
Potentille,018070020080003
Renoncule,015075018085002
Ricin,022070024080003
Sureau,020075022085002
Tamaris,022065024075003
Tilleul,018070020080003
Troene,020075022085002
Viorne,018070020080003
Aloe Vera,025040023030003
Pothos,022060020050003
Monstera deliciosa,024070022060003
Zamioculcas,022050020040004
Sansevieria,024030022025005
Calathea,022080020070002
Ficus elastica,023060021055003
Ficus lyrata,022065020060003
Dracaena marginata,023050021045004
Dieffenbachia,022070020065003
Philodendron,023065021060003
Spathiphyllum,022075020070002
Anthurium,024080022075002
Bromelia,025075023065003
Croton,024070022060003
Schefflera,022060020055003
Yucca,024040022035004
Kalanchoe,022050020045003
Peperomia,020060018055003
Maranta,022080020075002
Fittonia,022085020080002
Hoya,023060021050003
Cactus de Noel,020050018040003
Aglaonema,022070020065003
Syngonium,022075020070002
Pilea peperomioides,020065018060003
Beaucarnia,025030023025004
Haworthia,022040020030003
Echeveria,022035020030003
Sedum,020040018035004
Kentiya,022060020055003
Chamaedorea,023070021065003
Alocasia,024080022075002
Colocasia,024085022080002
Strelitzia,023065021060003
Clivia,020060018055003
Gloxinia,022075020070002
Sinningia,022070020065003
Streptocarpus,020070018065003
Tillandsia,022060020040003
Nephrolepis,020080018075002
Adiantum,020085018080002
Asplenium,022080020075002
Davallia,022080020075002
Pteris,020080018075002
Cyperus,022085020085002
Caladium,024080022075002
Codiaeum,024070022060003
Iresine,022065020060003
Jacobinia,022070020065003
Aphelandra,023075021070002
Hypoestes,022070020065003
Nertera,020075018070002
Soleirolia,018080016085002
Bananier,028085030085002
Mangurier,028080030080003
Avocatier,026075028075003
Papayer,028085030085002
Goyavier,026080028080003
Ananas,028075030075003
Vanillier,028090030090002
Cacaoyer,028085030085002
Cafeier,026080028080003
Theier,024085026085002
Bambou tropical,026080028080003
Orchidee tropicale,026085028080002
Heliconia,028090030090002
Alpinia,026085028085002
Costus,026085028085002
Strelitzia reginae,026075028075003
Hibiscus rosa sinensis,026080028080003
Frangipanier,028075030075003
Bougainvillier,028070030070003
Ixora,026080028080003
Allamanda,028080030080003
Plumeria,028075030075003
Mussaenda,026085028085002
Cordyline,026080028080003
Dracaena fragrans,026075028075003
Pandanus,028080030080003
Raveneala,028085030085002
Cycas,028075030075003
Zamia,026070028070003
Philodendron bipinnatifidum,026080028080003
